연,월,도,시군구,월별 수요량
2022,05,서울,중구,6723
2022,05,서울,중랑구,14212
2022,05,세종,세종시,33736
2022,05,울산,남구,49081
2022,05,울산,동구,7303
2022,05,울산,북구,22459
2022,05,울산,울주군,25139
2022,05,울산,중구,15838
2022,05,인천,강화군,6339
2022,05,인천,계양구,12980
2022,05,인천,남동구,24154
2022,05,인천,동구,1999
2022,05,인천,미추홀구,77087
2022,05,인천,부평구,21303
2022,05,인천,서구,43834
2022,05,인천,연수구,26758
2022,05,인천,옹진군,532
2022,05,인천,중구,15051
2022,05,전남,강진군,7389
2022,05,전남,고흥군,15588
2022,05,전남,곡성군,11899
2022,05,전남,광양시,34469
2022,05,전남,구례군,2435
2022,05,전남,나주시,22631
2022,05,전남,담양군,5108
2022,05,전남,목포시,14740
2022,05,전남,무안군,21806
2022,05,전남,보성군,16872
2022,05,전남,순천시,75261
2022,05,전남,신안군,3812
2022,05,전남,여수시,43771
2022,05,전남,영광군,10215
2022,05,전남,영암군,11882
2022,05,전남,완도군,7231
2022,05,전남,장성군,12825
2022,05,전남,장흥군,3358
2022,05,전남,진도군,2720
2022,05,전남,함평군,13059
2022,05,전남,해남군,7121
2022,05,전남,화순군,17302
2022,05,전북,고창군,30655
2022,05,전북,군산시,21943
2022,05,전북,김제시,22640
2022,05,전북,남원시,34420
2022,05,전북,무주군,14776
2022,05,전북,부안군,13342
2022,05,전북,순창군,15105
2022,05,전북,완주군,60105
2022,05,전북,익산시,21658
2022,05,전북,임실군,20098
2022,05,전북,장수군,9528
2022,05,전북,전주시,124308
2022,05,전북,정읍시,24260
2022,05,전북,진안군,9237
2022,05,제주,서귀포시,312821
2022,05,제주,제주시,485724
2022,05,충남,계룡시,14775
2022,05,충남,공주시,67987
2022,05,충남,금산군,14091
2022,05,충남,논산시,41462
2022,05,충남,당진시,34424
2022,05,충남,보령시,26795
2022,05,충남,부여군,19772
2022,05,충남,서산시,16404
2022,05,충남,서천군,22012
2022,05,충남,아산시,59832
2022,05,충남,예산군,39304
2022,05,충남,천안시,145259
2022,05,충남,청양군,3368
2022,05,충남,태안군,14664
2022,05,충남,홍성군,28093
2022,05,충북,괴산군,27582
2022,05,충북,단양군,23167
2022,05,충북,보은군,17812
2022,05,충북,영동군,21836
2022,05,충북,옥천군,38168
2022,05,충북,음성군,25738
2022,05,충북,제천시,12656
2022,05,충북,증평군,3655
2022,05,충북,진천군,16710
2022,05,충북,청주시,163455
2022,05,충북,충주시,66593
2022,06,강원,강릉시,27606
2022,06,강원,고성군,6269
2022,06,강원,동해시,20988
2022,06,강원,삼척시,12816
2022,06,강원,속초시,25648
2022,06,강원,양구군,11243
2022,06,강원,양양군,14404
2022,06,강원,영월군,4395
2022,06,강원,원주시,76775
2022,06,강원,인제군,30242
2022,06,강원,정선군,10360
2022,06,강원,철원군,11790
2022,06,강원,춘천시,44774
2022,06,강원,태백시,6852
2022,06,강원,평창군,30117
